weight_g,fsr_value,tof_distance_mm
0.0,1320.0,12.0
0.0,1320.0,8.0
0.0,1311.0,8.0
0.0,1318.0,12.0
0.0,1311.0,9.0
0.0,1272.0,16.0
0.0,1262.0,15.0
0.0,1273.0,12.0
0.0,1274.0,12.0
0.0,1271.0,15.0
0.0,1258.0,15.0
0.0,1260.0,14.0
0.0,1259.0,15.0
0.0,1259.0,14.0
0.0,1258.0,13.0
0.0,1257.0,16.0
0.0,1258.0,16.0
0.0,1257.0,14.0
0.0,1258.0,12.0
0.0,1260.0,13.0
31.1,1325.0,13.0
31.1,1326.0,10.0
31.1,1335.0,12.0
31.1,1327.0,12.0
31.1,1327.0,10.0
31.1,1326.0,10.0
31.1,1336.0,10.0
31.1,1335.0,11.0
31.1,1327.0,12.0
31.1,1326.0,10.0
31.1,1327.0,13.0
31.1,1337.0,12.0
31.1,1336.0,11.0
31.1,1339.0,9.0
31.1,1335.0,11.0
173.8,1338.0,11.0
173.8,1337.0,9.0
173.8,1337.0,8.0
173.8,1337.0,8.0
173.8,1337.0,11.0
173.8,1337.0,12.0
173.8,1338.0,9.0
173.8,1336.0,12.0
173.8,1337.0,11.0
173.8,1338.0,7.0
173.8,1337.0,11.0
173.8,1337.0,11.0
173.8,1338.0,9.0
173.8,1341.0,10.0
173.8,1340.0,12.0
173.8,1343.0,10.0
173.8,1352.0,11.0
173.8,1351.0,11.0
173.8,1351.0,9.0
173.8,1344.0,14.0
210.3,1341.0,10.0
210.3,1341.0,9.0
210.3,1341.0,8.0
210.3,1341.0,11.0
210.3,1340.0,12.0
210.3,1341.0,12.0
210.3,1341.0,13.0
210.3,1342.0,10.0
210.3,1340.0,12.0
210.3,1339.0,14.0
210.3,1344.0,9.0
210.3,1352.0,12.0
210.3,1343.0,10.0
210.3,1343.0,11.0
210.3,1351.0,10.0
210.3,1341.0,8.0
210.3,1340.0,9.0
210.3,1342.0,7.0
210.3,1341.0,5.0
210.3,1340.0,9.0
216.7,1354.0,11.0
216.7,1353.0,9.0
216.7,1355.0,12.0
216.7,1352.0,11.0
216.7,1353.0,9.0
216.7,1343.0,10.0
216.7,1342.0,8.0
216.7,1344.0,8.0
216.7,1344.0,10.0
216.7,1351.0,10.0
216.7,1360.0,11.0
216.7,1369.0,11.0
216.7,1360.0,10.0
216.7,1367.0,9.0
216.7,1370.0,10.0
291.2,1390.0,10.0
291.2,1389.0,11.0
291.2,1386.0,13.0
291.2,1389.0,11.0
291.2,1388.0,11.0
291.2,1387.0,9.0
291.2,1386.0,10.0
291.2,1386.0,10.0
291.2,1385.0,8.0
291.2,1386.0,8.0
291.2,1375.0,12.0
291.2,1375.0,9.0
291.2,1375.0,10.0
291.2,1374.0,8.0
291.2,1374.0,11.0
388.7,1498.0,11.0
388.7,1499.0,11.0
388.7,1499.0,10.0
388.7,1499.0,12.0
388.7,1497.0,12.0
388.7,1500.0,11.0
388.7,1498.0,12.0
388.7,1496.0,12.0
388.7,1497.0,12.0
388.7,1496.0,11.0
388.7,1551.0,13.0
388.7,1550.0,12.0
388.7,1560.0,10.0
388.7,1559.0,14.0
388.7,1560.0,11.0
420.9,1561.0,12.0
420.9,1563.0,12.0
420.9,1561.0,13.0
420.9,1562.0,13.0
420.9,1561.0,13.0
420.9,1564.0,13.0
420.9,1564.0,15.0
420.9,1563.0,13.0
420.9,1562.0,11.0
420.9,1563.0,14.0
420.9,1533.0,16.0
420.9,1533.0,15.0
420.9,1544.0,16.0
420.9,1546.0,15.0
420.9,1536.0,12.0
420.9,1534.0,12.0
420.9,1535.0,14.0
420.9,1535.0,13.0
420.9,1543.0,14.0
420.9,1533.0,16.0
497.2,1598.0,19.0
497.2,1606.0,18.0
497.2,1599.0,20.0
497.2,1608.0,18.0
497.2,1598.0,19.0
497.2,1614.0,18.0
497.2,1613.0,18.0
497.2,1613.0,17.0
497.2,1614.0,20.0
497.2,1614.0,20.0
497.2,1631.0,21.0
497.2,1630.0,18.0
497.2,1628.0,20.0
497.2,1626.0,18.0
497.2,1629.0,21.0
497.2,1615.0,19.0
497.2,1622.0,17.0
497.2,1623.0,18.0
497.2,1615.0,18.0
497.2,1624.0,18.0
497.2,1630.0,20.0
497.2,1627.0,21.0
497.2,1627.0,18.0
497.2,1628.0,19.0
497.2,1627.0,17.0
581.8,1756.0,15.0
581.8,1756.0,16.0
581.8,1756.0,15.0
581.8,1756.0,14.0
581.8,1756.0,16.0
581.8,1742.0,16.0
581.8,1741.0,18.0
581.8,1743.0,18.0
581.8,1743.0,19.0
581.8,1752.0,20.0
581.8,1726.0,21.0
581.8,1726.0,22.0
581.8,1726.0,23.0
581.8,1726.0,21.0
581.8,1722.0,20.0
581.8,1673.0,20.0
581.8,1674.0,18.0
581.8,1674.0,18.0
581.8,1672.0,19.0
581.8,1673.0,16.0
654.3,1775.0,18.0
654.3,1774.0,16.0
654.3,1783.0,20.0
654.3,1783.0,19.0
654.3,1771.0,19.0
654.3,1805.0,19.0
654.3,1807.0,18.0
654.3,1817.0,22.0
654.3,1807.0,20.0
654.3,1807.0,17.0
654.3,1836.0,21.0
654.3,1836.0,21.0
654.3,1836.0,19.0
654.3,1836.0,23.0
654.3,1836.0,21.0
654.3,1817.0,23.0
654.3,1818.0,22.0
654.3,1816.0,22.0
654.3,1817.0,21.0
654.3,1817.0,20.0
654.3,1839.0,29.0
654.3,1836.0,29.0
654.3,1835.0,26.0
654.3,1834.0,26.0
654.3,1835.0,28.0
749.2,1399.0,11.0
749.2,1400.0,11.0
749.2,1401.0,10.0
749.2,1401.0,12.0
749.2,1400.0,9.0
749.2,2028.0,30.0
749.2,2028.0,31.0
749.2,2030.0,31.0
749.2,2030.0,27.0
749.2,2030.0,31.0
749.2,1964.0,34.0
749.2,1963.0,32.0
749.2,1964.0,30.0
749.2,1962.0,33.0
749.2,1965.0,32.0
749.2,1898.0,29.0
749.2,1898.0,29.0
749.2,1896.0,28.0
749.2,1897.0,28.0
749.2,1898.0,25.0
749.2,1959.0,27.0
749.2,1960.0,26.0
749.2,1960.0,29.0
749.2,1960.0,30.0
749.2,1959.0,26.0
780.0,1931.0,28.0
780.0,1932.0,29.0
780.0,1931.0,28.0
780.0,1932.0,28.0
780.0,1934.0,30.0
780.0,1976.0,28.0
780.0,1977.0,28.0
780.0,1978.0,30.0
780.0,1980.0,34.0
780.0,1979.0,32.0
780.0,2009.0,29.0
780.0,2007.0,33.0
780.0,2008.0,31.0
780.0,2009.0,30.0
780.0,2008.0,30.0
882.0,2013.0,36.0
882.0,2011.0,37.0
882.0,2013.0,33.0
882.0,2012.0,33.0
882.0,2012.0,36.0
882.0,1374.0,36.0
882.0,1384.0,34.0
882.0,1385.0,35.0
882.0,1384.0,54.0
882.0,1360.0,54.0
1027.1,2320.0,48.0
1027.1,2328.0,47.0
1027.1,2335.0,43.0
1027.1,2335.0,46.0
1027.1,2347.0,48.0
1027.1,2332.0,50.0
1027.1,2332.0,50.0
1027.1,2328.0,55.0
1027.1,2315.0,54.0
1027.1,2314.0,56.0
1027.1,2362.0,59.0
1027.1,2362.0,61.0
1027.1,2345.0,61.0
1027.1,2333.0,60.0
1027.1,2333.0,55.0
1027.1,2459.0,60.0
1027.1,2459.0,66.0
1027.1,2459.0,63.0
1027.1,2458.0,68.0
1027.1,2459.0,71.0
943.8,2189.0,37.0
943.8,2190.0,40.0
943.8,2200.0,38.0
943.8,2201.0,37.0
943.8,2202.0,38.0
943.8,1671.0,49.0
943.8,1742.0,47.0
943.8,1786.0,44.0
943.8,1771.0,45.0
943.8,1995.0,51.0
